text_id,uid,text_date
925,73,6/18/2020
926,42,6/18/2020
927,100,6/18/2020
928,67,6/18/2020
929,91,6/18/2020
930,88,6/18/2020
931,95,6/18/2020
932,84,6/18/2020
933,74,6/18/2020
934,3,6/18/2020
935,57,6/18/2020
936,78,6/18/2020
937,2,6/18/2020
938,105,6/18/2020
939,109,6/18/2020
940,92,6/18/2020
941,63,6/18/2020
942,68,6/18/2020
943,42,6/18/2020
944,93,6/18/2020
945,67,6/18/2020
946,47,6/18/2020
947,61,6/18/2020
948,62,6/18/2020
949,110,6/18/2020
950,108,6/18/2020
951,7,6/18/2020
952,104,6/18/2020
953,67,6/18/2020
954,103,6/18/2020
955,94,6/18/2020
956,64,6/18/2020
957,75,6/18/2020
958,106,6/18/2020
959,88,6/18/2020
960,10,6/18/2020
961,64,6/18/2020
962,2,6/18/2020
963,73,6/18/2020
964,11,6/18/2020
965,50,6/18/2020
966,83,6/18/2020
967,97,6/18/2020
968,100,6/18/2020
969,26,6/18/2020
970,112,6/18/2020
971,87,6/18/2020
972,108,6/18/2020
973,3,6/18/2020
974,83,6/18/2020
975,77,6/18/2020
976,66,6/18/2020
977,28,6/18/2020
978,87,6/18/2020
979,89,6/18/2020
980,95,6/18/2020
981,72,6/18/2020
982,104,6/18/2020
983,86,6/18/2020
984,72,6/18/2020
985,90,6/18/2020
986,94,6/18/2020
987,50,6/18/2020
988,62,6/18/2020
989,79,6/18/2020
990,88,6/18/2020
991,16,6/18/2020
992,112,6/18/2020
993,93,6/18/2020
994,92,6/18/2020
995,91,6/18/2020
996,76,6/18/2020
997,7,6/18/2020
998,62,6/18/2020
999,6,6/18/2020
1000,26,6/18/2020
1001,47,6/18/2020
1002,89,6/18/2020
1003,57,6/18/2020
1004,46,6/18/2020
1005,47,6/18/2020
1006,64,6/18/2020
1007,30,6/18/2020
1008,110,6/18/2020
1009,26,6/18/2020
1010,93,6/18/2020
1011,6,6/18/2020
1012,105,6/18/2020
1013,74,6/18/2020
1014,4,6/18/2020
1015,95,6/18/2020
1016,68,6/18/2020
1017,94,6/18/2020
1018,65,6/18/2020
1019,97,6/18/2020
1020,28,6/18/2020
1021,50,6/18/2020
1022,107,6/18/2020
1023,92,6/18/2020
1024,87,6/18/2020
1025,30,6/18/2020
1026,61,6/18/2020
1027,95,6/18/2020
1028,78,6/18/2020
1029,108,6/18/2020
1030,110,6/18/2020
1031,86,6/18/2020
1032,16,6/18/2020
1033,89,6/18/2020
1034,92,6/18/2020
1035,60,6/18/2020
1036,70,6/18/2020
1037,1,6/18/2020
1038,78,6/18/2020
1039,101,6/18/2020
1040,66,6/18/2020
1041,93,6/18/2020
1042,100,6/18/2020
1043,47,6/18/2020
1044,4,6/18/2020
1045,67,6/18/2020
1046,84,6/18/2020
1047,84,6/18/2020
1048,101,6/18/2020
1049,44,6/18/2020
1050,116,6/18/2020
1051,10,6/18/2020
1052,4,6/18/2020
1053,63,6/18/2020
1054,9,6/18/2020
1055,1,6/18/2020
1056,79,6/18/2020
1057,16,6/18/2020
1058,109,6/18/2020
1059,44,6/18/2020
